iri,prefix,vocabulary,tier,kind,label,definition,types,parents,domain,range,status,deprecated,source
https://schema.org/ByBankTransferInAdvance,schema,schema.org,2,individual,ByBankTransferInAdvance,"Payment in advance by bank transfer, equivalent to <code>http://purl.org/goodrelations/v1#ByBankTransferInAdvance</code>.",schema:PaymentMethodType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ByInvoice,schema,schema.org,2,individual,ByInvoice,"Payment by invoice, typically after the goods were delivered, equivalent to <code>http://purl.org/goodrelations/v1#ByInvoice</code>.",schema:PaymentMethodType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CDCPMDRecord,schema,schema.org,2,class,CDCPMDRecord,"A CDCPMDRecord is a data structure representing a record in a CDC tabular data format used for hospital data reporting. See [documentation](/docs/cdc-covid.html) for details, and the linked CDC materials for authoritative definitions used as the source here.",rdfs:Class,schema:StructuredValue,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CDFormat,schema,schema.org,2,individual,CDFormat,CDFormat.,schema:MusicReleaseFormatType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/COD,schema,schema.org,2,individual,COD,"Cash on Delivery (COD) payment, equivalent to <code>http://purl.org/goodrelations/v1#COD</code>.",schema:PaymentMethodType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CT,schema,schema.org,2,individual,CT,X-ray computed tomography imaging.,schema:MedicalImagingTechnique,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CableOrSatelliteService,schema,schema.org,2,class,CableOrSatelliteService,A service which provides access to media programming like TV or radio. Access may be via cable or satellite.,rdfs:Class,schema:Service,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CafeOrCoffeeShop,schema,schema.org,2,class,CafeOrCoffeeShop,A cafe or coffee shop.,rdfs:Class,schema:FoodEstablishment,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Campground,schema,schema.org,2,class,Campground,"A camping site, campsite, or [[Campground]] is a place used for overnight stay in the outdoors, typically containing individual [[CampingPitch]] locations. \n\n In British English a campsite is an area, usually divided into a number of pitches, where people can camp overnight using tents or camper vans or caravans; this British English use of the word is synonymous with the American English expression campground. In American English the term campsite generally means an area where an individual, family, group, or military unit can pitch a tent or park a camper; a campground may contain many campsites (source: Wikipedia, see [https://en.wikipedia.org/wiki/Campsite](https://en.wikipedia.org/wiki/Campsite)).\n\n See also the dedicated [document on the use of schema.org for marking up hotels and other forms of accommodations](/docs/hotels.html).",rdfs:Class,schema:CivicStructure; schema:LodgingBusiness,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CampingPitch,schema,schema.org,2,class,CampingPitch,"A [[CampingPitch]] is an individual place for overnight stay in the outdoors, typically being part of a larger camping site, or [[Campground]].\n\n In British English a campsite, or campground, is an area, usually divided into a number of pitches, where people can camp overnight using tents or camper vans or caravans; this British English use of the word is synonymous with the American English expression campground. In American English the term campsite generally means an area where an individual, family, group, or military unit can pitch a tent or park a camper; a campground may contain many campsites. (Source: Wikipedia, see [https://en.wikipedia.org/wiki/Campsite](https://en.wikipedia.org/wiki/Campsite).)\n\n See also the dedicated [document on the use of schema.org for marking up hotels and other forms of accommodations](/docs/hotels.html).",rdfs:Class,schema:Accommodation,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Canal,schema,schema.org,2,class,Canal,"A canal, like the Panama Canal.",rdfs:Class,schema:BodyOfWater,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CancelAction,schema,schema.org,2,class,CancelAction,The act of asserting that a future event/action is no longer going to happen.\n\nRelated actions:\n\n* [[ConfirmAction]]: The antonym of CancelAction.,rdfs:Class,schema:PlanAction,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Car,schema,schema.org,2,class,Car,"A car is a wheeled, self-powered motor vehicle used for transportation.",rdfs:Class,schema:Vehicle,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CarUsageType,schema,schema.org,2,class,CarUsageType,"A value indicating a special usage of a car, e.g. commercial rental, driving school, or as a taxi.",rdfs:Class,schema:Enumeration,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Cardiovascular,schema,schema.org,2,individual,Cardiovascular,A specific branch of medical science that pertains to diagnosis and treatment of disorders of heart and vasculature.,schema:MedicalSpecialty,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CardiovascularExam,schema,schema.org,2,individual,CardiovascularExam,Cardiovascular system assessment with clinical examination.,schema:PhysicalExam,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CaseSeries,schema,schema.org,2,individual,CaseSeries,"A case series (also known as a clinical series) is a medical research study that tracks patients with a known exposure given similar treatment or examines their medical records for exposure and outcome. A case series can be retrospective or prospective and usually involves a smaller number of patients than the more powerful case-control studies or randomized controlled trials. Case series may be consecutive or non-consecutive, depending on whether all cases presenting to the reporting authors over a period of time were included, or only a selection.",schema:MedicalObservationalStudyDesign,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Cash,schema,schema.org,2,individual,Cash,"Payment using cash, on premises, equivalent to <code>http://purl.org/goodrelations/v1#Cash</code>.",schema:PaymentMethodType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Casino,schema,schema.org,2,class,Casino,A casino.,rdfs:Class,schema:EntertainmentBusiness,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CassetteFormat,schema,schema.org,2,individual,CassetteFormat,CassetteFormat.,schema:MusicReleaseFormatType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CategoryCode,schema,schema.org,2,class,CategoryCode,A Category Code.,rdfs:Class,schema:DefinedTerm,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CategoryCodeSet,schema,schema.org,2,class,CategoryCodeSet,A set of Category Code values.,rdfs:Class,schema:DefinedTermSet,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CatholicChurch,schema,schema.org,2,class,CatholicChurch,A Catholic church.,rdfs:Class,schema:Church,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CausesHealthAspect,schema,schema.org,2,individual,CausesHealthAspect,Information about the causes and main actions that gave rise to the topic.,schema:HealthAspectEnumeration,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Cemetery,schema,schema.org,2,class,Cemetery,A graveyard.,rdfs:Class,schema:CivicStructure,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Certification,schema,schema.org,2,class,Certification,"A Certification is an official and authoritative statement about a subject, for example a product, service, person, or organization. A certification is typically issued by an indendent certification body, for example a professional organization or government. It formally attests certain characteristics about the subject, for example Organizations can be ISO certified, Food products can be certified Organic or Vegan, a Person can be a certified professional, a Place can be certified for food processing. There are certifications for many domains: regulatory, organizational, recycling, food, efficiency, educational, ecological, etc. A certification is a form of credential, as are accreditations and licenses. Mapped from the [gs1:CertificationDetails](https://www.gs1.org/voc/CertificationDetails) class in the GS1 Web Vocabulary.",rdfs:Class,fibo-fnd-arr-doc:Certificate; schema:CreativeWork,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CertificationActive,schema,schema.org,2,individual,CertificationActive,Specifies that a certification is active.,schema:CertificationStatusEnumeration,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CertificationInactive,schema,schema.org,2,individual,CertificationInactive,Specifies that a certification is inactive (no longer in effect).,schema:CertificationStatusEnumeration,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CertificationStatusEnumeration,schema,schema.org,2,class,CertificationStatusEnumeration,Enumerates the different statuses of a Certification (Active and Inactive).,rdfs:Class,schema:Enumeration,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Chapter,schema,schema.org,2,class,Chapter,One of the sections into which a book is divided. A chapter usually has a section number or a name.,rdfs:Class,schema:CreativeWork,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CharitableIncorporatedOrganization,schema,schema.org,2,individual,CharitableIncorporatedOrganization,CharitableIncorporatedOrganization: Non-profit type referring to a Charitable Incorporated Organization (UK).,schema:UKNonprofitType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CheckAction,schema,schema.org,2,class,CheckAction,"An agent inspects, determines, investigates, inquires, or examines an object's accuracy, quality, condition, or state.",rdfs:Class,schema:FindAction,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CheckInAction,schema,schema.org,2,class,CheckInAction,"The act of an agent communicating (service provider, social media, etc) their arrival by registering/confirming for a previously reserved service (e.g. flight check-in) or at a place (e.g. hotel), possibly resulting in a result (boarding pass, etc).\n\nRelated actions:\n\n* [[CheckOutAction]]: The antonym of CheckInAction.\n* [[ArriveAction]]: Unlike ArriveAction, CheckInAction implies that the agent is informing/confirming the start of a previously reserved service.\n* [[ConfirmAction]]: Unlike ConfirmAction, CheckInAction implies that the agent is informing/confirming the *start* of a previously reserved service rather than its validity/existence.",rdfs:Class,schema:CommunicateAction,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CheckInAdvance,schema,schema.org,2,individual,CheckInAdvance,"Payment in advance by sending a check, equivalent to <code>http://purl.org/goodrelations/v1#CheckInAdvance</code>.",schema:PaymentMethodType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CheckOutAction,schema,schema.org,2,class,CheckOutAction,"The act of an agent communicating (service provider, social media, etc) their departure of a previously reserved service (e.g. flight check-in) or place (e.g. hotel).\n\nRelated actions:\n\n* [[CheckInAction]]: The antonym of CheckOutAction.\n* [[DepartAction]]: Unlike DepartAction, CheckOutAction implies that the agent is informing/confirming the end of a previously reserved service.\n* [[CancelAction]]: Unlike CancelAction, CheckOutAction implies that the agent is informing/confirming the end of a previously reserved service.",rdfs:Class,schema:CommunicateAction,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CheckoutPage,schema,schema.org,2,class,CheckoutPage,Web page type: Checkout page.,rdfs:Class,schema:WebPage,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ChemicalSubstance,schema,schema.org,2,class,ChemicalSubstance,"A chemical substance is 'a portion of matter of constant composition, composed of molecular entities of the same type or of different types' (source: [ChEBI:59999](https://www.ebi.ac.uk/chebi/searchId.do?chebiId=59999)).",rdfs:Class,schema:BioChemEntity,,,pending,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ChildCare,schema,schema.org,2,class,ChildCare,A Childcare center.,rdfs:Class,schema:LocalBusiness,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ChildrensEvent,schema,schema.org,2,class,ChildrensEvent,Event type: Children's event.,rdfs:Class,schema:Event,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Chiropractic,schema,schema.org,2,individual,Chiropractic,"A system of medicine focused on the relationship between the body's structure, mainly the spine, and its functioning.",schema:MedicineSystem,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ChooseAction,schema,schema.org,2,class,ChooseAction,The act of expressing a preference from a set of options or a large or unbounded set of choices/options.,rdfs:Class,schema:AssessAction,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Church,schema,schema.org,2,class,Church,A church.,rdfs:Class,schema:PlaceOfWorship,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/City,schema,schema.org,2,class,City,A city or town.,rdfs:Class,schema:AdministrativeArea,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CityHall,schema,schema.org,2,class,CityHall,A city hall.,rdfs:Class,schema:GovernmentBuilding,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CivicStructure,schema,schema.org,2,class,CivicStructure,"A public structure, such as a town hall or concert hall.",rdfs:Class,schema:Place,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Claim,schema,schema.org,2,class,Claim,"A [[Claim]] in Schema.org represents a specific, factually-oriented claim that could be the [[itemReviewed]] in a [[ClaimReview]]. The content of a claim can be summarized with the [[text]] property. Variations on well known claims can have their common identity indicated via [[sameAs]] links, and summarized with a [[name]]. Ideally, a [[Claim]] description includes enough contextual information to minimize the risk of ambiguity or inclarity. In practice, many claims are better understood in the context in which they appear or the interpretations provided by claim reviews. Beyond [[ClaimReview]], the Claim type can be associated with related creative works - for example a [[ScholarlyArticle]] or [[Question]] might be [[about]] some [[Claim]]. At this time, Schema.org does not define any types of relationship between claims. This is a natural area for future exploration.",rdfs:Class,schema:CreativeWork,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ClaimReview,schema,schema.org,2,class,ClaimReview,A fact-checking review of claims made (or reported) in some creative work (referenced via itemReviewed).,rdfs:Class,schema:Review,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Class,schema,schema.org,2,class,Class,"A class, also often called a 'Type'; equivalent to rdfs:Class.",rdfs:Class,schema:Intangible,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CleaningFee,schema,schema.org,2,individual,CleaningFee,"Represents the cleaning fee part of the total price for an offered product, for example a vacation rental.",schema:PriceComponentTypeEnumeration,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Clinician,schema,schema.org,2,individual,Clinician,"Medical clinicians, including practicing physicians and other medical professionals involved in clinical practice.",schema:MedicalAudienceType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Clip,schema,schema.org,2,class,Clip,A short TV or radio program or a segment/part of a program.,rdfs:Class,schema:CreativeWork,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ClothingStore,schema,schema.org,2,class,ClothingStore,A clothing store.,rdfs:Class,schema:Store,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CoOp,schema,schema.org,2,individual,CoOp,"Play mode: CoOp. Co-operative games, where you play on the same team with friends.",schema:GamePlayMode,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Code,schema,schema.org,2,class,Code,"Computer programming source code. Example: Full (compile ready) solutions, code snippet samples, scripts, templates.",rdfs:Class,schema:CreativeWork,,,,schema:supersededBy schema:SoftwareSourceCode,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CohortStudy,schema,schema.org,2,individual,CohortStudy,"Also known as a panel study. A cohort study is a form of longitudinal study used in medicine and social science. It is one type of study design and should be compared with a cross-sectional study. A cohort is a group of people who share a common characteristic or experience within a defined period (e.g., are born, leave school, lose their job, are exposed to a drug or a vaccine, etc.). The comparison group may be the general population from which the cohort is drawn, or it may be another cohort of persons thought to have had little or no exposure to the substance under investigation, but otherwise similar. Alternatively, subgroups within the cohort may be compared with each other.",schema:MedicalObservationalStudyDesign,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Collection,schema,schema.org,2,class,Collection,"A collection of items, e.g. creative works or products.",rdfs:Class,schema:CreativeWork,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CollectionPage,schema,schema.org,2,class,CollectionPage,Web page type: Collection page.,rdfs:Class,schema:WebPage,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CollegeOrUniversity,schema,schema.org,2,class,CollegeOrUniversity,"A college, university, or other third-level educational institution.",rdfs:Class,schema:EducationalOrganization,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ComedyClub,schema,schema.org,2,class,ComedyClub,A comedy club.,rdfs:Class,schema:EntertainmentBusiness,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ComedyEvent,schema,schema.org,2,class,ComedyEvent,Event type: Comedy event.,rdfs:Class,schema:Event,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ComicCoverArt,schema,schema.org,2,class,ComicCoverArt,The artwork on the cover of a comic.,rdfs:Class,schema:ComicStory; schema:CoverArt,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ComicIssue,schema,schema.org,2,class,ComicIssue,"Individual comic issues are serially published as part of a larger series. For the sake of consistency, even one-shot issues belong to a series comprised of a single issue. All comic issues can be uniquely identified by: the combination of the name and volume number of the series to which the issue belongs; the issue number; and the variant description of the issue (if any).",rdfs:Class,schema:PublicationIssue,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ComicSeries,schema,schema.org,2,class,ComicSeries,"A sequential publication of comic stories under a unifying title, for example ""The Amazing Spider-Man"" or ""Groo the Wanderer"".",rdfs:Class,schema:Periodical,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ComicStory,schema,schema.org,2,class,ComicStory,"The term ""story"" is any indivisible, re-printable unit of a comic, including the interior stories, covers, and backmatter. Most comics have at least two stories: a cover (ComicCoverArt) and an interior story.",rdfs:Class,schema:CreativeWork,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Comment,schema,schema.org,2,class,Comment,"A comment on an item - for example, a comment on a blog post. The comment's content is expressed via the [[text]] property, and its topic via [[about]], properties shared with all CreativeWorks.",rdfs:Class,schema:CreativeWork,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CommentAction,schema,schema.org,2,class,CommentAction,The act of generating a comment about a subject.,rdfs:Class,schema:CommunicateAction,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CommentPermission,schema,schema.org,2,individual,CommentPermission,Permission to add comments to the document.,schema:DigitalDocumentPermissionType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CommunicateAction,schema,schema.org,2,class,CommunicateAction,"The act of conveying information to another person via a communication medium (instrument) such as speech, email, or telephone conversation.",rdfs:Class,schema:InteractAction,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CommunityHealth,schema,schema.org,2,individual,CommunityHealth,A field of public health focusing on improving health characteristics of a defined population in relation with their geographical or environment areas.,schema:MedicalSpecialty,schema:MedicalBusiness,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CompilationAlbum,schema,schema.org,2,individual,CompilationAlbum,CompilationAlbum.,schema:MusicAlbumProductionType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CompleteDataFeed,schema,schema.org,2,class,CompleteDataFeed,"A [[CompleteDataFeed]] is a [[DataFeed]] whose standard representation includes content for every item currently in the feed. This is the equivalent of Atom's element as defined in Feed Paging and Archiving [RFC 5005](https://tools.ietf.org/html/rfc5005), for example (and as defined for Atom), when using data from a feed that represents a collection of items that varies over time (e.g. ""Top Twenty Records"") there is no need to have newer entries mixed in alongside older, obsolete entries. By marking this feed as a CompleteDataFeed, old entries can be safely discarded when the feed is refreshed, since we can assume the feed has provided descriptions for all current items.",rdfs:Class,schema:DataFeed,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Completed,schema,schema.org,2,individual,Completed,Completed.,schema:MedicalStudyStatus,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CompletedActionStatus,schema,schema.org,2,individual,CompletedActionStatus,An action that has already taken place.,schema:ActionStatusType,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CompositeCaptureDigitalSource,schema,schema.org,2,individual,CompositeCaptureDigitalSource,"Content coded as '<a href=""https://cv.iptc.org/newscodes/digitalsourcetype/compositeCapture"">composite capture</a>' using the IPTC <a href=""https://cv.iptc.org/newscodes/digitalsourcetype/"">digital source type</a> vocabulary.",schema:IPTCDigitalSourceEnumeration,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CompositeDigitalSource,schema,schema.org,2,individual,CompositeDigitalSource,"Content coded as '<a href=""https://cv.iptc.org/newscodes/digitalsourcetype/algorithmicMedia"">algorithmic media</a>' using the IPTC <a href=""https://cv.iptc.org/newscodes/digitalsourcetype/"">digital source type</a> vocabulary.",schema:IPTCDigitalSourceEnumeration,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CompositeSyntheticDigitalSource,schema,schema.org,2,individual,CompositeSyntheticDigitalSource,"Content coded as '<a href=""https://cv.iptc.org/newscodes/digitalsourcetype/compositeSynthetic"">composite synthetic</a>' using the IPTC <a href=""https://cv.iptc.org/newscodes/digitalsourcetype/"">digital source type</a> vocabulary.",schema:IPTCDigitalSourceEnumeration,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CompositeWithTrainedAlgorithmicMediaDigitalSource,schema,schema.org,2,individual,CompositeWithTrainedAlgorithmicMediaDigitalSource,"Content coded as '<a href=""https://cv.iptc.org/newscodes/digitalsourcetype/compositeWithTrainedAlgorithmicMedia"">composite with trained algorithmic media</a>' using the IPTC <a href=""https://cv.iptc.org/newscodes/digitalsourcetype/"">digital source type</a> vocabulary.",schema:IPTCDigitalSourceEnumeration,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CompoundPriceSpecification,schema,schema.org,2,class,CompoundPriceSpecification,"A compound price specification is one that bundles multiple prices that all apply in combination for different dimensions of consumption. Use the name property of the attached unit price specification for indicating the dimension of a price component (e.g. ""electricity"" or ""final cleaning"").",rdfs:Class,schema:PriceSpecification,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ComputerLanguage,schema,schema.org,2,class,ComputerLanguage,"This type covers computer programming languages such as Scheme and Lisp, as well as other language-like computer representations. Natural languages are best represented with the [[Language]] type.",rdfs:Class,schema:Intangible,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ComputerStore,schema,schema.org,2,class,ComputerStore,A computer store.,rdfs:Class,schema:Store,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ConferenceEvent,schema,schema.org,2,class,ConferenceEvent,Event type: Conference event.,rdfs:Class,schema:Event,,,pending,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ConfirmAction,schema,schema.org,2,class,ConfirmAction,The act of notifying someone that a future event/action is going to happen as expected.\n\nRelated actions:\n\n* [[CancelAction]]: The antonym of ConfirmAction.,rdfs:Class,schema:InformAction,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Consortium,schema,schema.org,2,class,Consortium,A Consortium is a membership [[Organization]] whose members are typically Organizations.,rdfs:Class,schema:Organization,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ConstraintNode,schema,schema.org,2,class,ConstraintNode,"The ConstraintNode type is provided to support usecases in which a node in a structured data graph is described with properties which appear to describe a single entity, but are being used in a situation where they serve a more abstract purpose. A [[ConstraintNode]] can be described using [[constraintProperty]] and [[numConstraints]]. These constraint properties can serve a variety of purposes, and their values may sometimes be understood to indicate sets of possible values rather than single, exact and specific values.",rdfs:Class,schema:Intangible,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ConsumeAction,schema,schema.org,2,class,ConsumeAction,The act of ingesting information/resources/food.,rdfs:Class,schema:Action,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ContactPage,schema,schema.org,2,class,ContactPage,Web page type: Contact page.,rdfs:Class,schema:WebPage,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ContactPoint,schema,schema.org,2,class,ContactPoint,"A contact point&#x2014;for example, a Customer Complaints department.",rdfs:Class,schema:StructuredValue,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ContactPointOption,schema,schema.org,2,class,ContactPointOption,Enumerated options related to a ContactPoint.,rdfs:Class,schema:Enumeration,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ContagiousnessHealthAspect,schema,schema.org,2,individual,ContagiousnessHealthAspect,Content about contagion mechanisms and contagiousness information over the topic.,schema:HealthAspectEnumeration,,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Continent,schema,schema.org,2,class,Continent,"One of the continents (for example, Europe or Africa).",rdfs:Class,schema:Landform,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ControlAction,schema,schema.org,2,class,ControlAction,An agent controls a device or application.,rdfs:Class,schema:Action,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/ConvenienceStore,schema,schema.org,2,class,ConvenienceStore,A convenience store.,rdfs:Class,schema:Store,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Conversation,schema,schema.org,2,class,Conversation,One or more messages between organizations or people on a particular topic. Individual messages can be linked to the conversation with isPartOf or hasPart properties.,rdfs:Class,schema:CreativeWork,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CookAction,schema,schema.org,2,class,CookAction,The act of producing/preparing food.,rdfs:Class,schema:CreateAction,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Cooperative,schema,schema.org,2,class,Cooperative,An organization that is a joint project of multiple organizations or persons.,rdfs:Class,schema:Organization,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Corporation,schema,schema.org,2,class,Corporation,Organization: A business corporation.,rdfs:Class,schema:Organization,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CorrectionComment,schema,schema.org,2,class,CorrectionComment,A [[comment]] that corrects [[CreativeWork]].,rdfs:Class,schema:Comment,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Country,schema,schema.org,2,class,Country,A country.,rdfs:Class,cmns-ge:GeopoliticalEntity; schema:AdministrativeArea,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Course,schema,schema.org,2,class,Course,"A description of an educational course which may be offered as distinct instances which take place at different times or take place at different locations, or be offered through different media or modes of study. An educational course is a sequence of one or more educational events and/or creative works which aims to build knowledge, competence or ability of learners.",rdfs:Class,schema:CreativeWork; schema:LearningResource,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CourseInstance,schema,schema.org,2,class,CourseInstance,An instance of a [[Course]] which is distinct from other instances because it is offered at a different time or location or through different media or modes of study or to a specific section of students.,rdfs:Class,schema:Event,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/Courthouse,schema,schema.org,2,class,Courthouse,A courthouse.,rdfs:Class,schema:GovernmentBuilding,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CoverArt,schema,schema.org,2,class,CoverArt,The artwork on the outer surface of a CreativeWork.,rdfs:Class,schema:VisualArtwork,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CovidTestingFacility,schema,schema.org,2,class,CovidTestingFacility,"A CovidTestingFacility is a [[MedicalClinic]] where testing for the COVID-19 Coronavirus disease is available. If the facility is being made available from an established [[Pharmacy]], [[Hotel]], or other non-medical organization, multiple types can be listed. This makes it easier to re-use existing schema.org information about that place, e.g. contact info, address, opening hours. Note that in an emergency, such information may not always be reliable.",rdfs:Class,schema:MedicalClinic,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CreateAction,schema,schema.org,2,class,CreateAction,The act of deliberately creating/producing/generating/building a result out of the agent.,rdfs:Class,schema:Action,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
https://schema.org/CreativeWork,schema,schema.org,2,class,CreativeWork,"The most generic kind of creative work, including books, movies, photographs, software programs, etc.",rdfs:Class,schema:Thing,,,,,https://schema.org/version/latest/schemaorg-current-https.ttl
