iri,prefix,vocabulary,tier,kind,label,definition,types,parents,domain,range,status,deprecated,source
http://www.w3.org/ns/dcat#hasCurrentVersion,dcat,DCAT 3,1,property,has current version,"This resource has a more specific, versioned resource with equivalent content [PAV].",owl:ObjectProperty; rdf:Property,pav:hasVersion,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#hasVersion,dcat,DCAT 3,1,property,has version,"This resource has a more specific, versioned resource [PAV].",owl:ObjectProperty; rdf:Property,dcterms:hasVersion; prov:generalizationOf,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#inCatalog,dcat,DCAT 3,1,untyped,,,,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#inSeries,dcat,DCAT 3,1,property,in series,A dataset series of which the dataset is part.,owl:ObjectProperty; rdf:Property,dcterms:isPartOf,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#isDistributionOf,dcat,DCAT 3,1,untyped,,,,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#isVersionOf,dcat,DCAT 3,1,untyped,,,,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#keyword,dcat,DCAT 3,1,property,keyword,A keyword or tag describing a resource.,owl:DatatypeProperty; rdf:Property,,,rdfs:Literal,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#landingPage,dcat,DCAT 3,1,property,landing page,"A Web page that can be navigated to in a Web browser to gain access to the catalog, a dataset, its distributions and/or additional information.",owl:ObjectProperty; rdf:Property,foaf:page,,foaf:Document,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#last,dcat,DCAT 3,1,property,last,"The last resource in an ordered collection or series of resources, to which the current resource belongs.",owl:ObjectProperty; rdf:Property,xhv:last,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#mediaType,dcat,DCAT 3,1,property,media type,The media type of the distribution as defined by IANA.,owl:ObjectProperty; rdf:Property,dcterms:format,dcat:Distribution,dcterms:MediaType,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#next,dcat,DCAT 3,1,untyped,,,,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#nextVersion,dcat,DCAT 3,1,untyped,,,,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#packageFormat,dcat,DCAT 3,1,property,packaging format,"The package format of the distribution in which one or more data files are grouped together, e.g. to enable a set of related files to be downloaded together.",owl:ObjectProperty; rdf:Property,dcterms:format,dcat:Distribution,dcterms:MediaType,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#prev,dcat,DCAT 3,1,property,previous,The previous resource (before the current one) in an ordered collection or series of resources.,owl:ObjectProperty; rdf:Property,xhv:prev,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#previousVersion,dcat,DCAT 3,1,property,previous version,The previous version of a resource in a lineage [PAV].,owl:ObjectProperty; rdf:Property,prov:wasRevisionOf,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#qualifiedRelation,dcat,DCAT 3,1,property,qualified relation,Link to a description of a relationship with another resource.,owl:ObjectProperty; rdf:Property,,dcat:Resource,dcat:Relationship,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#record,dcat,DCAT 3,1,property,record,A record describing the registration of a single dataset or data service that is part of the catalog.,owl:ObjectProperty; rdf:Property,,dcat:Catalog,dcat:CatalogRecord,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#resource,dcat,DCAT 3,1,property,resource,A resource that is listed in the catalog.,owl:ObjectProperty; rdf:Property,dcterms:hasPart,dcat:Catalog,dcat:Resource,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#seriesMember,dcat,DCAT 3,1,untyped,,,,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#servesDataset,dcat,DCAT 3,1,property,serves dataset,A collection of data that this DataService can distribute.,owl:ObjectProperty; rdf:Property,,dcat:DataService,dcat:Dataset,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#service,dcat,DCAT 3,1,property,service,A service that is listed in the catalog.,owl:ObjectProperty; rdf:Property,dcat:resource,dcat:Catalog,dcat:DataService,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#spatialResolutionInMeters,dcat,DCAT 3,1,property,spatial resolution (metres),"minimum spatial separation resolvable in a dataset, measured in metres.",owl:DatatypeProperty; rdf:Property,,,xsd:decimal,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#startDate,dcat,DCAT 3,1,property,start date,The start of the period,owl:DatatypeProperty; rdf:Property,,dcterms:PeriodOfTime,rdfs:Literal,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#temporalResolution,dcat,DCAT 3,1,property,temporal resolution,minimum time period resolvable in a dataset.,owl:DatatypeProperty; rdf:Property,,,xsd:duration,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#theme,dcat,DCAT 3,1,property,theme,A main category of the resource. A resource can have multiple themes.,owl:ObjectProperty; rdf:Property,dcterms:subject,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#themeTaxonomy,dcat,DCAT 3,1,property,theme taxonomy,The knowledge organization system (KOS) used to classify catalog's datasets.,owl:ObjectProperty; rdf:Property,,dcat:Catalog,rdfs:Resource,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/dcat#version,dcat,DCAT 3,1,property,version,The version indicator (name or identifier) of a resource.,owl:DatatypeProperty; rdf:Property,,,,,,https://www.w3.org/ns/dcat.ttl
http://www.w3.org/ns/adms#Asset,adms,ADMS,2,class,Asset,An abstract entity that reflects the intellectual content of the asset and represents those characteristics of the asset that are independent of its physical embodiment. This abstract entity combines the FRBR entities work (a distinct intellectual or artistic creation) and expression (the intellectual or artistic realization of a work),owl:Class,,,,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#AssetDistribution,adms,ADMS,2,class,Asset Distribution,"A particular physical embodiment of an Asset, which is an example of the FRBR entity manifestation (the physical embodiment of an expression of a work).",owl:Class,,,,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#AssetRepository,adms,ADMS,2,class,Asset repository,"A system or service that provides facilities for storage and maintenance of descriptions of Assets and Asset Distributions, and functionality that allows users to search and access these descriptions. An Asset Repository will typically contain descriptions of several Assets and related Asset Distributions.",owl:Class,,,,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#Identifier,adms,ADMS,2,class,Identifier,This is based on the UN/CEFACT Identifier class.,owl:Class,,,,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#identifier,adms,ADMS,2,property,identifier,Links a resource to an adms:Identifier class.,owl:ObjectProperty,,rdfs:Resource,<http://www.w3.org/ns/adms#Identifier>,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#includedAsset,adms,ADMS,2,property,included asset,"An Asset that is contained in the Asset being described, e.g. when there are several vocabularies defined in a single document.",owl:ObjectProperty,,<http://www.w3.org/ns/adms#Asset>,<http://www.w3.org/ns/adms#Asset>,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#interoperabilityLevel,adms,ADMS,2,property,interoperability level,The interoperability level for which the Asset is relevant.,owl:ObjectProperty,,<http://www.w3.org/ns/adms#Asset>,skos:Concept,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#last,adms,ADMS,2,property,last,A link to the current or latest version of the Asset.,owl:ObjectProperty,<http://www.w3.org/1999/xhtml/vocab#last>,rdfs:Resource,rdfs:Resource,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#next,adms,ADMS,2,property,next,A link to the next version of the Asset.,owl:ObjectProperty,<http://www.w3.org/1999/xhtml/vocab#next>,rdfs:Resource,rdfs:Resource,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#prev,adms,ADMS,2,property,prev,A link to the previous version of the Asset.,owl:ObjectProperty,<http://www.w3.org/1999/xhtml/vocab#prev>,rdfs:Resource,rdfs:Resource,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#representationTechnique,adms,ADMS,2,property,representation technique,"More information about the format in which an Asset Distribution is released. This is different from the file format as, for example, a ZIP file (file format) could contain an XML schema (representation technique).",owl:ObjectProperty,,rdfs:Resource,skos:Concept,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#sample,adms,ADMS,2,property,sample,Links to a sample of an Asset (which is itself an Asset).,owl:ObjectProperty,,rdfs:Resource,rdfs:Resource,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#schemaAgency,adms,ADMS,2,property,schema agency,The name of the agency that issued the identifier.,owl:DatatypeProperty,,<http://www.w3.org/ns/adms#Identifier>,rdfs:Literal,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#schemeAgency,adms,ADMS,2,property,schema agency,The name of the agency that issued the identifier.,owl:DatatypeProperty,,<http://www.w3.org/ns/adms#Identifier>,rdfs:Literal,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#status,adms,ADMS,2,property,status,The status of the Asset in the context of a particular workflow process.,owl:ObjectProperty,,rdfs:Resource,skos:Concept,,,https://www.w3.org/ns/adms.ttl
